,AVR,COSA2,BTORMC,THP,Z3,Eld,BvITP,NOTIGHT,SyGuSAPDR,AVR-2020,GspacerBV
beem/adding.5.prop1-func-interl.chc,13.592256,8.646794,9.531675,19.666693,na,na,na,na,na,29.942277,na
beem/brp.2.prop1-func-interl.chc,1.020116,2.091934,1.022446,1.679833,na,na,na,na,na,3.563811,na
beem/cambridge.7.prop2-back-serstep.chc,na,na,na,na,na,na,na,na,na,na,na
beem/collision.6.prop1-func-interl.chc,na,na,na,na,na,na,na,na,na,na,na
beem/exit.5.prop1-func-interl.chc,3219.940223,45.360919,13.86749,na,na,na,na,na,na,108.458335,na
beem/frogs.2.prop1-back-serstep.chc,20.626728,11.168344,14.126687,14.6704,na,na,na,58.155994,58.155994,17.310892,na
beem/frogs.5.prop1-func-interl.chc,11.471813,na,na,na,na,na,na,na,na,na,na
beem/lamport_nonatomic.5.prop1-func-interl.chc,na,na,na,na,na,na,na,na,na,na,na
beem/lann.4.prop1-back-serstep.chc,na,na,na,na,na,na,na,na,na,na,na
beem/leader_election.3.prop1-back-serstep.chc,na,na,na,na,na,na,na,na,na,na,na
beem/pgm_protocol.2.prop5-back-serstep.chc,na,na,na,na,na,na,na,na,na,na,na
beem/pgm_protocol.4.prop2-func-interl.chc,na,na,na,na,na,na,na,na,na,na,na
beem/rether.4.prop1-back-serstep.chc,991.711823,665.54993,476.102637,670.88216,na,na,na,na,437.309587,557.734963,na
beem/synapse.7.prop1-func-interl.chc,na,na,na,na,na,na,na,na,na,na,na
beem/telephony.6.prop1-func-interl.chc,89.667968,34.297824,27.533402,49.017993,na,na,na,na,na,116.503176,na
goel/crafted/toy_lock_4/toy_lock_4.chc,148.291007,na,na,na,104.557513,na,na,na,129.31702,105.838413,156.735125
goel/industry/cal10/cal10.chc,0.279017,12.157472,na,na,na,na,na,na,0.047364,0.413061,na
goel/industry/cal100/cal100.chc,35.798115,na,na,na,na,na,na,na,1791.155064,69.979092,na
goel/industry/cal109/cal109.chc,50.382129,na,na,na,na,na,na,na,3240.223844,32.957742,na
goel/industry/cal110/cal110.chc,37.214027,na,na,na,na,na,na,na,1948.401391,31.652425,na
goel/industry/cal122/cal122.chc,42.201482,na,na,na,na,na,na,na,1962.381499,41.674384,na
goel/industry/cal128/cal128.chc,29.726002,na,na,na,na,na,na,na,2389.689779,42.190717,na
goel/industry/cal131/cal131.chc,25.520081,na,na,na,na,na,na,na,2943.803166,45.50768,na
goel/industry/cal132/cal132.chc,42.373438,na,na,na,na,na,na,na,2656.89394,62.629825,na
goel/industry/cal134/cal134.chc,23.318109,na,na,na,na,na,na,na,na,70.857544,na
goel/industry/cal136/cal136.chc,21.992119,na,na,na,na,na,na,na,2275.509004,50.337709,na
goel/industry/cal140/cal140.chc,36.61927,na,na,na,na,na,na,na,2730.555531,23.14742,na
goel/industry/cal142/cal142.chc,32.033772,na,na,na,na,na,na,na,3140.379912,57.718386,na
goel/industry/cal143/cal143.chc,29.327239,na,na,na,na,na,na,na,2907.374236,61.981298,na
goel/industry/cal144/cal144.chc,25.765882,na,na,na,na,na,na,na,2441.681592,33.97078,na
goel/industry/cal146/cal146.chc,27.364963,na,na,na,na,na,na,na,3481.391676,39.045443,na
goel/industry/cal156/cal156.chc,46.506489,na,na,na,na,na,na,na,na,121.852131,na
goel/industry/cal162/cal162.chc,0.471718,na,na,na,na,na,na,0.999883,0.999883,3.743946,na
goel/industry/cal163/cal163.chc,0.481036,na,na,na,na,na,na,1.246933,1.246933,3.712534,2200.275357
goel/industry/cal165/cal165.chc,0.470627,na,na,na,na,na,na,1.103746,1.103746,na,2283.619416
goel/industry/cal180/cal180.chc,0.370883,na,na,na,61.067599,na,na,160.190247,13.079388,1.480285,64.129936
goel/industry/cal182/cal182.chc,0.885174,na,na,na,na,na,na,35.570886,35.570886,1.787687,na
goel/industry/cal198/cal198.chc,53.532118,na,na,na,na,na,na,na,na,87.98155,na
goel/industry/cal203/cal203.chc,73.884582,na,na,na,na,na,na,na,na,115.590325,na
goel/industry/cal21/cal21.chc,0.280404,1.085589,na,na,na,na,na,0.196073,0.120516,0.452922,na
goel/industry/cal222/cal222.chc,254.659659,na,na,na,na,na,na,na,na,194.157163,na
goel/industry/cal225/cal225.chc,867.63637,na,na,na,na,na,na,na,na,1828.779235,na
goel/industry/cal226/cal226.chc,1302.076032,na,na,na,na,na,na,na,na,1501.957964,na
goel/industry/cal228/cal228.chc,1758.097206,na,na,na,na,na,na,na,na,2513.69989,na
goel/industry/cal229/cal229.chc,217.303547,na,na,na,na,na,na,na,na,424.927245,na
goel/industry/cal26/cal26.chc,0.899169,24.232045,na,na,na,na,na,11.777463,0.104302,1.850818,2.772364
goel/industry/cal27/cal27.chc,0.80295,na,na,na,na,na,na,35.826223,0.238823,1.499424,na
goel/industry/cal3/cal3.chc,0.272739,1.616692,na,na,na,na,na,309.162115,0.110224,2.026705,na
goel/industry/cal32/cal32.chc,0.821867,15.676635,na,na,1.206032,na,na,0.32299,0.100383,2.16269,1.175868
goel/industry/cal33/cal33.chc,0.79609,5.632773,na,na,na,na,na,7.385086,0.105407,1.709293,5.396385
goel/industry/cal34/cal34.chc,0.824816,31.262769,na,na,na,na,na,35.023873,0.743758,1.684445,na
goel/industry/cal39/cal39.chc,0.479267,364.811009,na,na,3.228527,na,na,7.11299,0.158746,4.01478,2.237477
goel/industry/cal40/cal40.chc,0.945546,483.038251,na,na,2.498886,na,na,8.466023,0.139104,3.305757,2.612259
goel/industry/cal42/cal42.chc,0.373832,7.115925,na,na,0.604582,na,na,0.311163,0.058395,2.069815,0.517258
goel/industry/cal5/cal5.chc,0.276875,2.093169,na,na,11.775618,na,na,1.053896,0.349029,1.316819,33.925201
goel/industry/cal78/cal78.chc,0.475901,na,na,na,na,na,na,1.510821,1.397021,1.749179,na
goel/industry/cal89/cal89.chc,29.366633,na,na,na,na,na,na,na,2081.678007,25.871098,na
goel/industry/cal9/cal9.chc,0.282274,17.210771,na,na,na,na,na,0.133599,0.110737,1.236905,na
goel/industry/cal93/cal93.chc,28.945463,na,na,na,na,na,na,na,2369.3781,61.563124,na
goel/industry/cal94/cal94.chc,40.928424,na,na,na,na,na,na,na,1362.883602,51.527935,na
goel/industry/gen14/gen14.chc,0.270592,0.573703,na,na,0.090234,na,9.474173,0.071666,0.035383,1.148264,0.079169
goel/industry/gen19/gen19.chc,0.270048,0.565593,na,na,0.078625,na,na,0.093115,0.031862,1.14606,0.065187
goel/industry/gen23/gen23.chc,0.284899,8.131123,na,na,0.169693,na,na,0.121871,0.099052,0.512429,0.222681
goel/industry/gen25/gen25.chc,0.274555,1.08615,na,na,0.129953,na,0.195918,0.055926,0.066027,0.501532,5.255829
goel/industry/gen31/gen31.chc,0.976692,7.122996,na,na,0.258457,na,na,na,0.130339,1.728787,0.232784
goel/industry/gen32/gen32.chc,0.281705,1.06994,na,na,0.109857,na,na,0.098052,0.057346,1.381092,0.180499
goel/industry/gen33/gen33.chc,0.272212,3.091273,na,na,0.094303,na,na,6.574225,0.095869,1.313998,0.148801
goel/industry/gen43/gen43.chc,0.284499,1.089379,na,na,0.102391,22.937962,na,0.212915,0.214539,0.703436,0.120575
goel/industry/gen44/gen44.chc,0.275096,1.615472,na,na,0.111319,64.75556,na,0.366097,0.223913,1.042026,0.093734
goel/industry/mul1/mul1.chc,9.766222,na,na,na,na,42.35077,na,na,na,5.397022,na
goel/industry/mul10/mul10.chc,33.733081,na,na,na,na,na,na,na,na,15.317535,na
goel/industry/mul3/mul3.chc,9.599532,na,na,na,na,38.398027,na,na,na,1.538976,na
goel/industry/mul4/mul4.chc,0.277899,na,na,na,na,na,na,na,na,1.457016,na
goel/industry/mul9/mul9.chc,3.851107,na,na,na,na,na,na,na,na,5.022306,na
goel/opensource/h_b05/h_b05.chc,0.372472,0.572975,0.034004,0.207089,11.796239,na,na,18.717989,11.2474,3.430885,13.432932
goel/opensource/h_TreeArb/h_TreeArb.chc,5.054698,25.220029,na,na,14.66151,na,na,35.094522,35.094522,5.154453,46.645727
goel/opensource/Heap/Heap.chc,48.288896,5.101132,na,na,258.55403,na,na,194.354519,194.354519,56.796708,na
goel/opensource/usb_phy/usb_phy.chc,2.023396,1.099623,0.676995,1.910945,na,na,na,471.61452,471.61452,5.121624,na
goel/opensource/vcegar_arrays_itc99_b12_p2/vcegar_arrays_itc99_b12_p2.chc,na,na,na,na,na,na,na,na,na,na,0.115287
goel/opensource/vcegar_QF_BV_itc99_b13_p06/vcegar_QF_BV_itc99_b13_p06.chc,0.278346,0.570965,na,na,0.034166,na,0.046016,0.028142,0.028142,0.394329,0.059509
goel/opensource/vcegar_QF_BV_usb_phy_1/vcegar_QF_BV_usb_phy_1.chc,1.732932,1.105288,0.556119,1.932805,na,na,na,194.641693,194.641693,3.96188,na
goel/opensource/vis_arrays_am2910_p1/vis_arrays_am2910_p1.chc,0.382356,2.674784,na,na,na,na,1931.750313,0.03608,0.03608,1.289415,na
goel/opensource/vis_arrays_buf_bug/vis_arrays_buf_bug.chc,2.156031,1.608254,0.983131,3.054231,na,na,na,na,na,5.155375,na
goel/opensource/vis_arrays_bufferAlloc/vis_arrays_bufferAlloc.chc,na,na,na,na,na,na,na,na,na,na,na
goel/opensource/vis_arrays_field5/vis_arrays_field5.chc,1798.371975,na,na,na,na,na,na,na,na,na,na
goel/opensource/vis_arrays_two_p1/vis_arrays_two_p1.chc,9.088929,10.130323,10.670407,40.194132,na,na,na,na,na,8.774735,na
mann/data-integrity/unsafe/arbitrated_top_n2_w128_d16_e0.chc,7.371451,6.153161,7.651852,31.992591,na,na,na,na,na,14.697006,na
mann/data-integrity/unsafe/arbitrated_top_n2_w128_d32_e0.chc,621.86935,627.961836,432.613543,2423.740003,na,na,na,na,na,1028.666537,na
mann/data-integrity/unsafe/arbitrated_top_n2_w128_d64_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n2_w16_d16_e0.chc,5.197116,6.62864,3.899275,17.151367,na,na,na,na,na,9.452038,na
mann/data-integrity/unsafe/arbitrated_top_n2_w16_d32_e0.chc,564.291265,574.601342,467.370742,1454.013422,na,na,na,na,na,713.104931,na
mann/data-integrity/unsafe/arbitrated_top_n2_w32_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n2_w64_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n2_w8_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n3_w128_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n3_w16_d16_e0.chc,6.453643,6.114358,7.604537,13.128045,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n3_w16_d64_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n3_w32_d16_e0.chc,9.43926,8.136433,6.467105,17.382075,na,na,na,na,na,14.753971,na
mann/data-integrity/unsafe/arbitrated_top_n3_w32_d32_e0.chc,572.204561,454.82875,576.847391,1417.441219,na,na,na,na,na,909.391776,na
mann/data-integrity/unsafe/arbitrated_top_n3_w64_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n3_w8_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n4_w128_d16_e0.chc,13.170432,14.16675,11.536389,32.332714,na,na,na,na,na,21.699439,na
mann/data-integrity/unsafe/arbitrated_top_n4_w32_d16_e0.chc,10.099481,7.637815,7.717206,19.623776,na,na,na,na,na,22.332393,na
mann/data-integrity/unsafe/arbitrated_top_n4_w64_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n5_w128_d16_e0.chc,14.501595,13.659894,13.124617,51.33694,na,na,na,na,na,28.049488,na
mann/data-integrity/unsafe/arbitrated_top_n5_w128_d32_e0.chc,1155.490048,672.437291,583.828355,2375.800238,2109.025331,na,na,na,na,1569.651679,na
mann/data-integrity/unsafe/arbitrated_top_n5_w16_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n5_w16_d32_e0.chc,750.004794,998.82461,579.311167,1486.050187,na,na,na,na,na,815.964063,na
mann/data-integrity/unsafe/arbitrated_top_n5_w32_d32_e0.chc,879.50377,581.629864,482.534932,1903.747796,na,na,na,na,na,927.601341,na
mann/data-integrity/unsafe/arbitrated_top_n5_w64_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n5_w64_d64_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n5_w8_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/arbitrated_top_n5_w8_d32_e0.chc,681.605473,764.698427,522.282146,1654.275512,na,na,na,na,na,1027.595201,na
mann/data-integrity/unsafe/circular_pointer_top_w128_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/circular_pointer_top_w16_d16_e0.chc,12.54201,16.174567,8.528086,32.640412,na,na,na,na,na,23.052798,na
mann/data-integrity/unsafe/circular_pointer_top_w16_d32_e0.chc,1332.37786,1207.87111,927.755338,2084.153507,na,na,na,na,na,1278.213021,na
mann/data-integrity/unsafe/circular_pointer_top_w16_d64_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/circular_pointer_top_w32_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/circular_pointer_top_w32_d16_e0.chc,21.858565,20.71265,20.251082,82.49907,na,na,na,na,na,36.871776,na
mann/data-integrity/unsafe/circular_pointer_top_w32_d32_e0.chc,1010.99145,1445.893891,1184.72706,na,na,na,na,na,na,1468.955817,na
mann/data-integrity/unsafe/circular_pointer_top_w64_d64_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/circular_pointer_top_w8_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/circular_pointer_top_w8_d32_e0.chc,983.498296,838.656291,711.335093,1970.815939,na,na,na,na,na,1358.280501,na
mann/data-integrity/unsafe/circular_pointer_top_w8_d64_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/shift_register_top_w128_d32_e0.chc,na,na,na,na,na,na,na,na,540.223841,3412.640362,na
mann/data-integrity/unsafe/shift_register_top_w128_d64_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/shift_register_top_w32_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/shift_register_top_w32_d8_e0.chc,12.108996,7.629624,7.163466,22.378621,376.206508,na,na,na,5.422361,8.851232,316.174986
mann/data-integrity/unsafe/shift_register_top_w64_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/shift_register_top_w64_d16_e0.chc,155.904131,na,na,na,na,na,na,na,26.319745,160.514096,na
mann/data-integrity/unsafe/shift_register_top_w64_d32_e0.chc,na,na,na,na,na,na,na,na,338.82573,na,na
mann/data-integrity/unsafe/shift_register_top_w64_d64_e0.chc,na,na,na,na,na,na,na,na,3297.680302,na,na
mann/data-integrity/unsafe/shift_register_top_w64_d8_e0.chc,15.720869,40.315116,37.097265,42.197007,688.747466,na,na,na,7.144808,8.115275,420.209651
mann/data-integrity/unsafe/shift_register_top_w8_d128_e0.chc,na,na,na,na,na,na,na,na,na,na,na
mann/data-integrity/unsafe/shift_register_top_w8_d32_e0.chc,3298.435345,na,na,na,na,na,na,na,216.102703,2248.785024,na
mann/data-integrity/unsafe/shift_register_top_w8_d64_e0.chc,na,na,na,na,na,na,na,na,2554.825996,na,na
mann/safe/analog_estimation_convergence.chc,na,4.609791,4.23839,na,0.29254,na,na,2193.438738,2193.438738,4.070934,0.12073
mann/unknown/ridecore.chc,na,na,na,na,na,na,na,na,na,na,na
mann/unsafe/intersymbol_analog_estimation_convergence.chc,46.982855,29.775912,22.771272,60.436436,na,na,na,na,na,56.097116,na
wolf/2018A/zipcpu-busdelay-p02.chc,249.002047,na,na,na,na,na,na,na,na,421.819301,na
wolf/2018A/zipcpu-busdelay-p18.chc,0.929687,73.54351,9.606225,na,2.413371,na,133.534445,196.83886,32.629945,2.243182,0.946562
wolf/2018A/zipcpu-busdelay-p24.chc,na,na,na,na,na,na,na,na,na,1016.818823,na
wolf/2018A/zipcpu-busdelay-p30.chc,332.736076,na,na,na,na,na,na,na,na,441.138185,na
wolf/2018A/zipcpu-busdelay-p36.chc,351.925608,na,na,na,na,na,na,na,na,555.487082,na
wolf/2018A/zipcpu-busdelay-p43.chc,0.489103,1.605594,9.067762,na,2.522924,na,na,12.813855,1.757278,0.558977,1.870726
wolf/2018A/zipcpu-busdelay-p46.chc,198.630104,na,na,na,na,na,na,na,na,719.56036,na
wolf/2018A/zipcpu-busdelay-p47.chc,9.844901,610.905531,244.341713,na,73.659846,na,na,na,na,12.075734,57.651319
wolf/2018D/picorv32-check-p01.chc,0.372445,na,na,na,na,na,257.937937,10.676718,1.781469,0.542368,23.964382
wolf/2018D/picorv32-check-p06.chc,1.131008,na,na,na,na,na,322.658456,18.234346,5.583426,1.945039,37.645045
wolf/2018D/picorv32-check-p09.chc,0.293625,443.26803,na,na,na,na,122.277324,0.584008,0.452963,0.405255,10.366129
wolf/2018D/picorv32-check-p12.chc,0.934356,na,na,na,na,na,446.11316,15.255782,8.544339,1.490226,51.984087
wolf/2018D/picorv32-check-p17.chc,0.272734,232.010192,na,na,2.095962,na,6.832543,0.50273,0.308422,0.468512,1.791465
wolf/2018D/picorv32-check-p18.chc,0.469075,na,na,na,na,na,143.884609,5.071739,3.614021,1.773888,6.707893
wolf/2018D/picorv32-check-p22.chc,0.937945,na,na,na,na,na,920.02235,11.791147,9.563411,1.641602,23.794571
wolf/2018D/picorv32-pcregs-p2.chc,na,na,na,na,na,na,na,na,na,na,na
wolf/2018D/ponylink-slaveTXlen-sat.chc,774.435485,289.327477,296.06641,308.666146,na,na,na,na,0.329415,na,na
wolf/2018D/VexRiscv-regch0-20-p0.chc,na,62.956709,138.921414,na,na,na,na,na,na,285.734558,na
wolf/2018D/VexRiscv-regch0-20-p1.chc,na,563.536192,415.169354,na,na,na,na,na,na,627.932265,148.796344
